timestamp,event,symbol,direction,crossover_time,crossover_high,crossover_low,crossover_close,entry,SL,target,entry_trigger_type,trade_id,reason
2026-06-15 14:35:10,SIGNAL CREATED,NIFTY16JUN2623900CE,BULLISH,2026-06-15 14:30:00,118.0,100.5,114.05,118.0,100.5,,,,
2026-06-15 14:35:11,SIGNAL CLEARED,NIFTY16JUN2623900CE,BULLISH,2026-06-15 14:30:00,118.0,100.5,114.05,118.0,100.5,,,,TRADE EXECUTED
2026-06-15 14:35:12,TRADE EXECUTED,NIFTY16JUN2623900CE,BULLISH,2026-06-15 14:30:00,118.0,100.5,114.05,118.0,100.5,,HIGH_BREAKOUT,TRADE-20260615-143511,High breakout confirmation
2026-06-15 14:50:38,TRADE CLOSED,NIFTY16JUN2623900CE,BULLISH,2026-06-15 14:30:00,118.0,100.5,114.05,118.0,100.5,153.0,,TRADE-20260615-143511,STOP LOSS HIT
2026-06-15 14:55:06,SIGNAL CREATED,NIFTY16JUN2624050PE,BEARISH,2026-06-15 14:50:00,190.4,161.3,181.7,190.4,161.3,,,,
2026-06-15 14:59:02,SIGNAL CLEARED,NIFTY16JUN2624050PE,BEARISH,2026-06-15 14:50:00,190.4,161.3,181.7,190.4,161.3,,,,TRADE EXECUTED
2026-06-15 14:59:03,TRADE EXECUTED,NIFTY16JUN2624050PE,BEARISH,2026-06-15 14:50:00,190.4,161.3,181.7,190.4,161.3,,HIGH_BREAKOUT,TRADE-20260615-145902,High breakout confirmation
2026-06-15 14:59:05,TRADE CLOSED,NIFTY16JUN2624050PE,BEARISH,2026-06-15 14:50:00,190.4,161.3,181.7,190.4,161.3,248.6,,TRADE-20260615-145902,EOD SQUAREOFF
2026-06-15 14:59:09,SIGNAL CREATED,NIFTY16JUN2624000PE,BEARISH,2026-06-15 14:50:00,153.0,127.15,145.95,153.0,127.15,,,,
2026-06-15 14:59:10,SIGNAL CLEARED,NIFTY16JUN2624000PE,BEARISH,2026-06-15 14:50:00,153.0,127.15,145.95,153.0,127.15,,,,TRADE EXECUTED
2026-06-15 14:59:11,TRADE EXECUTED,NIFTY16JUN2624000PE,BEARISH,2026-06-15 14:50:00,153.0,127.15,145.95,153.0,127.15,,HIGH_BREAKOUT,TRADE-20260615-145910,High breakout confirmation
2026-06-15 14:59:12,TRADE CLOSED,NIFTY16JUN2624000PE,BEARISH,2026-06-15 14:50:00,153.0,127.15,145.95,153.0,127.15,204.7,,TRADE-20260615-145910,EOD SQUAREOFF
